,English Version,Label,News,Author,Date,Authenticity
29,Getting train travel information through WhatsApp chatbot without using mobile apps…,tech, மொபைல் செயலிகளை பயன்படுத்தாமல் வாட்ஸ்அப் சாட்பாட் மூலம் ரயில் பயண தகவல்களை பெறுவது...   ,செய்திப்பிரிவு,28-Sep-22,0
30,Techno Pop 6 Pro smartphone launched in India Price &...,tech, இந்தியாவில் அறிமுகமானது டெக்னோ பாப் 6 புரோ ஸ்மார்ட்போன் | விலை &...   ,செய்திப்பிரிவு,27-Sep-22,0
31,The Supreme Court will telecast live hearings of Constitutional Sessions,tech, அரசியல் சாசன அமர்வுகளின் வழக்கு விசாரணையை நேரலையில் ஒளிபரப்பும் உச்ச நீதிமன்றம்   ,செய்திப்பிரிவு,27-Sep-22,0
32,50-60 percent of tweets blocked by Indian government are benign:…,tech, இந்திய அரசு முடக்கச் சொன்ன ட்வீட்களில் 50 - 60 சதவீதம் தீங்கற்றவை:...  ,எல்லுச்சாமி கார்த்திக்,26-Sep-22,0
33,Is India 'pushing' to use NavIC with GPS on cell phones?,tech, செல்போன்களில் ஜிபிஎஸ் உடன் NavIC-ஐ பயன்படுத்த ‘அழுத்தம்’ தருகிறதா இந்தியா?   ,செய்திப்பிரிவு,26-Sep-22,0
34,Prime Minister Modi will launch 5G service on October 1,tech, அக்டோபர் 1-ம் தேதி 5ஜி சேவையை தொடங்கி வைக்கிறார் பிரதமர் மோடி   ,செய்திப்பிரிவு,25-Sep-22,0
35,OnePlus 10R 5G Prime Blue Edition Launched in India: Price &...,tech, ஒன்பிளஸ் 10R 5ஜி பிரைம் ப்ளூ எடிஷன் இந்தியாவில் அறிமுகம்: விலை &...   ,செய்திப்பிரிவு,22-Sep-22,0
36,New feature in iPhone 14 series: YouTuber who tested the car by 'crashing'!,tech, ஐபோன் 14 சீரிஸில் புதிய அம்சம்: காரை ‘கிராஷ்’ செய்து பரிசோதித்த யூடியூபர்!    ,செய்திப்பிரிவு,22-Sep-22,0
37,Switch board to prevent death due to electric shock - Manamadurai Electrician...,tech, மின்சாரம் தாக்கி உயிரிழப்பு ஏற்படுவதை தடுக்க சுவிட்ச் போர்டு - மானாமதுரை எலெக்ட்ரீசியன்...   ,செய்திப்பிரிவு,20-Sep-22,0
38,Indian student awarded Rs 38 lakh for pointing out flaw in InstaReels,tech, இன்ஸ்டா ரீல்ஸில் குறைபாட்டை சுட்டிக்காட்டிய இந்திய மாணவருக்கு ரூ.38 லட்சம் சன்மானம்   ,செய்திப்பிரிவு,19-Sep-22,0
39,WhatsApp poll feature: Expected to roll out soon,tech, வாட்ஸ்அப்பில் வாக்கெடுப்பு அம்சம்: விரைவில் வெளியாகும் என எதிர்பார்ப்பு   ,செய்திப்பிரிவு,17-Sep-22,0
40,Realme GT Neo 3T smartphone launched in India | Price &...,tech, இந்தியாவில் அறிமுகமானது ரியல்மி GT நியோ 3T ஸ்மார்ட்போன் | விலை &...   ,செய்திப்பிரிவு,16-Sep-22,0
41,Oppo F21s Pro Series Launched in India | Price & Features,tech, இந்தியாவில் அறிமுகமானது ஒப்போ F21s புரோ சீரிஸ் | விலை & அம்சங்கள்   ,செய்திப்பிரிவு,15-Sep-22,0
42,Vivo V25 smartphone launched Including color changing back panel…,tech, அறிமுகமானது விவோ V25 ஸ்மார்ட்போன் | நிறம் மாறும் பேக் பேனல் உட்பட...   ,செய்திப்பிரிவு,15-Sep-22,0
43,Realme C30s smartphone launched in India | Price & Special Features,tech, ரியல்மி C30s ஸ்மார்ட்போன் இந்தியாவில் அறிமுகம் | விலை & சிறப்பு அம்சங்கள்   ,செய்திப்பிரிவு,14-Sep-22,0
44,Realme Launches Narzo 50i Prime Phone at Budget Price: Price...,tech, பட்ஜெட் விலையில் நார்சோ 50i பிரைம் போனை அறிமுகம் செய்த ரியல்மி: விலை...   ,செய்திப்பிரிவு,13-Sep-22,0
45,Motorola Edge 30 Ultra & Fusion Smartphones Launched in India: Price...,tech, மோட்டோரோலா எட்ஜ் 30 அல்ட்ரா & ஃபியூஷன் ஸ்மார்ட்போன்கள் இந்தியாவில் அறிமுகம்: விலை...   ,செய்திப்பிரிவு,13-Sep-22,0
46,Is Your Smartphone Slowing Down?- Helpful Tips To Speed ​​It Up,tech, உங்கள் ஸ்மார்ட்போனின் இயக்கம் ஸ்லோ டவுன் ஆகிறதா?- வேகப்படுத்த பயனுள்ள டிப்ஸ்   ,எல்லுச்சாமி கார்த்திக்,09-Sep-22,0
47,"Apple Event 2022 Highlights | iPhone 14 series phones, Apple...",tech," ஆப்பிள் ஈவென்ட் 2022 ஹைலைட்ஸ் | ஐபோன் 14 சீரிஸ் போன்கள், ஆப்பிள்...   ",எல்லுச்சாமி கார்த்திக்,08-Sep-22,0
48,Redmi Launches 3 Budget Smartphones in India: Price &...,tech, பட்ஜெட் விலையில் 3 ஸ்மார்ட்போன்களை இந்தியாவில் அறிமுகம் செய்த ரெட்மி: விலை &...  ,செய்திப்பிரிவு,07-Sep-22,0
49,Poco M5 smartphone launched in Indian market | Price & Features,tech, போக்கோ M5 ஸ்மார்ட்போன் இந்திய சந்தையில் அறிமுகம் | விலை & அம்சங்கள்   ,செய்திப்பிரிவு,05-Sep-22,0
50,James captured the image of a planet larger than Earth beyond the solar system...,tech, சூரிய குடும்பத்துக்கு அப்பால் உள்ள பூமியைவிட பெரிய கிரகத்தை படம் பிடித்த ஜேம்ஸ்...   ,செய்திப்பிரிவு,05-Sep-22,0
51,"Google receives record 37,000 complaints from Indian users in July",tech, இதுவரை இல்லாத வகையில் ஜூலையில் இந்திய பயனாளர்களிடமிருந்து கூகுளுக்கு 37 ஆயிரம் புகார்கள்   ,செய்திப்பிரிவு,05-Sep-22,0
52,"Graduate, IT Extortion of crores targeting employees: New forms of...",tech," பட்டதாரி, ஐ.டி. ஊழியர்களை இலக்காக வைத்து கோடிக்கணக்கில் பணம் பறிப்பு: புதுப்புது வடிவங்களில்...   ",இ.ராமகிருஷ்ணன்,05-Sep-22,0
53,Theft (a) Govt CEIR helps block lost smartphone...,tech, களவு (அ) தொலைந்து போன ஸ்மார்ட்போனை பிளாக் செய்ய உதவும் அரசின் CEIR...   ,எல்லுச்சாமி கார்த்திக்,02-Sep-22,0
54,Cervical cancer vaccine “Cervavac”: First developed in India,tech, கர்ப்பப்பை புற்றுநோயை தடுக்கும் “செர்வாவாக்” தடுப்பூசி: இந்தியாவில் முதல் முறையாக உருவாக்கம்   ,செய்திப்பிரிவு,01-Sep-22,0
55,Twitter in 'Edit Button' trial: Feature to debut on paid subscription basis,tech, ‘எடிட் பட்டன்’ சோதனையில் ட்விட்டர்: கட்டண சந்தா அடிப்படையில் அறிமுகமாகும் அம்சம்   ,செய்திப்பிரிவு,01-Sep-22,0
56,How to Link Voter Card - Aadhaar Number through Mobile Phone?...,tech, மொபைல் போன் மூலம் வாக்காளர் அட்டை - ஆதார் எண் இணைப்பது எப்படி?...   ,எல்லுச்சாமி கார்த்திக்,30-Aug-22,0
57,Vivo Y35 smartphone launched in India | Price & Special Features,tech, விவோ Y35 ஸ்மார்ட்போன் இந்தியாவில் அறிமுகமானது | விலை & சிறப்பு அம்சங்கள்   ,செய்திப்பிரிவு,29-Aug-22,0
58,Jio 5G service launch in 4 cities including Chennai from Diwali,tech, தீபாவளி முதல் சென்னை உட்பட 4 நகரங்களில் ஜியோ 5ஜி சேவை அறிமுகம்   ,செய்திப்பிரிவு,29-Aug-22,0
59,Social media companies must follow Indian laws: Union Minister Ashwini...,tech, சமூக வலைதள நிறுவனங்கள் இந்திய சட்டங்களைப் பின்பற்ற வேண்டும்: மத்திய அமைச்சர் அஸ்வினி...   ,செய்திப்பிரிவு,29-Aug-22,0
60,Redmi Note 11SE smartphone launched in India | Price & Features,tech, இந்தியாவில் அறிமுகமானது ரெட்மி நோட் 11SE ஸ்மார்ட்போன் | விலை & அம்சங்கள்   ,செய்திப்பிரிவு,26-Aug-22,0
61,India likely to get 6G service by 2030: PM Modi,tech, 2030-க்குள் இந்தியா 6ஜி சேவையை பெற வாய்ப்பு: பிரதமர் மோடி   ,செய்திப்பிரிவு,26-Aug-22,0
62,A worker created an alarm to detect drinking water in Sivaganga,tech, சிவகங்கையில் குடிநீர் வருவதை அறிய அலாரம் உருவாக்கிய தொழிலாளி   ,செய்திப்பிரிவு,26-Aug-22,0
63,"BUYING GUIDE: 5G Smartphones Under Rs 20,000 in Indian Market",tech," BUYING GUIDE: இந்திய சந்தையில் ரூ.20,000-க்கு குறைவான பட்ஜெட்டில் கிடைக்கும் 5ஜி ஸமார்ட்போன்கள்   ",எல்லுச்சாமி கார்த்திக்,25-Aug-22,0
64,Water on Mars: ESA releases new map,tech, செவ்வாய் கிரகத்தில் தண்ணீர்: புதிய வரைபடத்தை வெளியிட்ட இஎஸ்ஏ  ,செய்திப்பிரிவு,23-Aug-22,0
65,Protection from air pollution: Startup makes new helmet for bikers...,tech, காற்று மாசிலிருந்து பாதுகாப்பு: இருசக்கர வாகன ஓட்டிகளுக்கு புதிய ஹெல்மெட் தயாரித்த ஸ்டார்அப்...   ,செய்திப்பிரிவு,22-Aug-22,0
66,Introducing NoiseFit Core 2 Smartwatch: Amazing features with 50 sports modes,tech, நாய்ஸ்ஃபிட் கோர் 2 ஸ்மார்ட்வாட்ச் அறிமுகம்: 50 ஸ்போர்ட்ஸ் மோடுகளுடன் அசத்தும் அம்சங்கள்   ,செய்திப்பிரிவு,22-Aug-22,0
67,Indian netizens spend up to 30 minutes a day looking at 'memes',tech, 'மீம்ஸ்' பார்க்க தினமும் 30 நிமிடங்கள் வரை செலவிடும் இந்திய நெட்டிசன்கள்   ,செய்திப்பிரிவு,22-Aug-22,0
68,More than 100 who extorted crores of money from people by claiming to give instant loans...,tech, உடனடி கடன் தருவதாக கூறி மக்களிடம் கோடிக்கணக்கில் பணம் பறித்த 100-க்கும் மேற்பட்ட...   ,செய்திப்பிரிவு,22-Aug-22,0
69,Issue of levy of service charge on UPI transactions: Finance Ministry Clarification,tech, யுபிஐ பரிவர்த்தனைகளுக்கு சேவைக் கட்டணம் விதிக்கும் விவகாரம்: நிதி அமைச்சகம் விளக்கம்   ,செய்திப்பிரிவு,21-Aug-22,0
70,Pune | Introducing the first indigenously developed hydrogen fuel bus,tech, புனே | உள்நாட்டிலேயே உருவாக்கப்பட்ட முதல் ஹைட்ரஜன் எரிபொருள் பேருந்து அறிமுகம்   ,செய்திப்பிரிவு,21-Aug-22,0
71,How to post your Instagram Reels on Facebook?,tech, உங்களது இன்ஸ்டா ரீல்ஸை பேஸ்புக்கில் போஸ்ட் செய்வது எப்படி?   ,செய்திப்பிரிவு,21-Aug-22,0
72,India's first electric double-decker bus: Known and unknown,tech, இந்தியாவின் முதல் மின்சார டபுள்-டெக்கர் பஸ்: அறிந்ததும் அறியாததும்   ,செய்திப்பிரிவு,19-Aug-22,0
73,Get ready to roll out 5G – Central Government urges telecom companies,tech, 5ஜி-யை அமல்படுத்த தயாராக இருங்கள் - தொலைத்தொடர்பு நிறுவனங்களுக்கு மத்திய அரசு வலியுறுத்தல்   ,செய்திப்பிரிவு,19-Aug-22,0
74,Realme 9i | Realme has launched a 5G phone at a budget price...,tech, ரியல்மி 9i | பட்ஜெட் விலையில் 5ஜி போனை அறிமுகம் செய்துள்ளது ரியல்மி...   ,செய்திப்பிரிவு,18-Aug-22,0
75,VLC media player banned in India: What has the government said?,tech, இந்தியாவில் VLC மீடியா பிளேயருக்கு தடை: அரசு தெரிவித்துள்ளது என்ன?   ,செய்திப்பிரிவு,18-Aug-22,0
76,Vivo V25 Pro smartphone launched with color changing back panel...,tech, நிறம் மாறும் பேக் பேனல் உடன் விவோ V25 புரோ ஸ்மார்ட்போன் அறிமுகம்...   ,செய்திப்பிரிவு,17-Aug-22,0
77,1900 Hacked 'Signal' Accounts: Users know if their account is compromised...,tech, ஹேக் செய்யப்பட்ட1900 ‘சிக்னல்’ கணக்குகள்: தங்கள் கணக்கு பாதிக்கப்பட்டதா என்பதை பயனர்கள் அறிவது...   ,எல்லுச்சாமி கார்த்திக்,16-Aug-22,0
78,Google released 'Android 13' version on Pixel phone: Soon on all phones...,tech, பிக்சல் போனில் 'ஆண்ட்ராய்டு 13' வெர்ஷனை வெளியிட்ட கூகுள்: விரைவில் அனைத்து போன்களிலும்...   ,செய்திப்பிரிவு,16-Aug-22,0
79,India @ 75: Digital India and IT Growth,tech, இந்தியா @ 75: டிஜிட்டல் இந்தியாவும் தகவல் தொழில்நுட்ப வளர்ச்சியும்   ,செய்திப்பிரிவு,15-Aug-22,0
80,Real 'City' - Humanoid robot launched by Xiaomi: worth Rs.82...,tech, ரியல் ‘சிட்டி’ - சியோமி அறிமுகம் செய்த ஹியூமனாய்டு ரோபோ: மதிப்பு ரூ.82...  ,செய்திப்பிரிவு,12-Aug-22,0
81,Moto G62 5G smartphone launched in India | Price & Features,tech, இந்தியாவில் அறிமுகமானது மோட்டோ G62 5ஜி ஸ்மார்ட்போன் | விலை & அம்சங்கள்   ,செய்திப்பிரிவு,11-Aug-22,0
82,Type-C charging port on all smartphones in India: Govt's wish?,tech, இந்தியாவில் அனைத்து ஸ்மார்ட்போன்களும் டைப்-சி சார்ஜிங் போர்ட்: அரசின் விருப்பம்?   ,எல்லுச்சாமி கார்த்திக்,11-Aug-22,0
83,"Samsung Galaxy Z Fold 4, Flip 4 and some devices…",tech," சாம்சங் கேலக்ஸி Z ஃபோல்ட் 4, ஃப்ளிப் 4 மற்றும் சில சாதனங்கள்...   ",செய்திப்பிரிவு,10-Aug-22,0
84,WhatsApp introduced new privacy features Full details,tech, புதிய பிரைவசி அம்சங்களை அறிமுகம் செய்த வாட்ஸ்அப் | முழு விவரம்   ,செய்திப்பிரிவு,09-Aug-22,0
85,Money Laundering on the Pretense of Installing Cell Phone Towers: Telecom Department Alert,tech, செல்போன் கோபுரங்கள் நிறுவுவதாக கூறி பணமோசடி: தொலைத்தொடர்பு துறை எச்சரிக்கை   ,செய்திப்பிரிவு,05-Aug-22,0
86,"Gizfit Ultra Smartwatch to go on sale on August 7 | Price, special features",tech," ஆக.7-ல் விற்பனைக்கு வரும் Gizfit அல்ட்ரா ஸ்மார்ட்வாட்ச் | விலை, சிறப்பு அம்சங்கள்   ",செய்திப்பிரிவு,05-Aug-22,0
87,OnePlus 10T 5G smartphone launched in India | Price & Special...,tech, இந்தியாவில் அறிமுகமானது ஒன்பிளஸ் 10T 5ஜி ஸ்மார்ட்போன் | விலை & சிறப்பு...   ,செய்திப்பிரிவு,03-Aug-22,0
88,Oppo A77 smartphone launched in Indian market | Price & Special...,tech, இந்திய சந்தையில் அறிமுகமானது ஒப்போ A77 ஸ்மார்ட்போன் | விலை & சிறப்பு...   ,செய்திப்பிரிவு,03-Aug-22,0
89,22 lakh WhatsApp accounts were suspended in June,tech, ஜூன் மாதத்தில் 22 லட்சம் வாட்ஸ்அப் கணக்குகள் முடக்கம்   ,செய்திப்பிரிவு,03-Aug-22,0
90,iQOO 9T smartphone launched in India | Price & Features,tech, இந்தியாவில் அறிமுகமானது iQOO 9T ஸ்மார்ட்போன் | விலை & அம்சங்கள்   ,செய்திப்பிரிவு,02-Aug-22,0
91,5G Spectrum Auction | Reliance Jio tops with Rs.88 thousand crores...,tech, 5ஜி அலைக்கற்றை ஏலம் | ரூ.88 ஆயிரம் கோடியுடன் ரிலையன்ஸ் ஜியோ முதலிடம்...   ,செய்திப்பிரிவு,02-Aug-22,0
92,Battlegrounds Mobile India from Google Play Store and Apple App Store…,tech, Battlegrounds Mobile India கூகுள் பிளே ஸ்டோர் மற்றும் ஆப்பிள் ஆப் ஸ்டோரிலிருந்து...   ,செய்திப்பிரிவு,28-Jul-22,0
93,Redmi 10A Sport Smartphone Launched at Budget Price | Price &...,tech, பட்ஜெட் விலையில் ரெட்மி 10A ஸ்போர்ட் ஸ்மார்ட்போன் அறிமுகம் | விலை &...   ,செய்திப்பிரிவு,28-Jul-22,0
94,Google Maps' 'Street View' feature launched in India; Facility to Chennai soon,tech, இந்தியாவில் கூகுள் மேப்ஸின் ‘ஸ்ட்ரீட் வியூ’ அம்சம் அறிமுகம்; விரைவில் சென்னைக்கும் வசதி   ,செய்திப்பிரிவு,27-Jul-22,0
95,The Virtual Technology of 'Metaverse': A Quick View,tech, ‘மெட்டாவெர்ஸ்’ என்னும் மெய்நிகர் தொழில்நுட்பம்: ஒரு விரைவுப் பார்வை   ,செய்திப்பிரிவு,26-Jul-22,0
96,Data of 54 lakh Twitter users hacked; Selling for Rs.24 lakh?,tech, ஹேக் செய்யப்பட்ட 54 லட்சம் ட்விட்டர் பயனர்களின் தரவுகள்; ரூ.24 லட்சத்துக்கு விற்பனை?  ,எல்லுச்சாமி கார்த்திக்,25-Jul-22,0
97,Advantages and Disadvantages of the 4th Industrial Revolution – A Quick View,tech, 4-ம் தொழிற்புரட்சி காலத்தின் பயன்களும் பாதகங்களும் - ஒரு விரைவுப் பார்வை   ,செய்திப்பிரிவு,22-Jul-22,0
98,'Cern' to tackle space radiation challenges!,tech, விண்வெளிக் கதிரியக்க சவால்களைச் சமாளிக்கும் ‘செர்ன்’!   ,செய்திப்பிரிவு,22-Jul-22,0
99,"747 websites, 94 YouTube channels banned in India by 2021-22: Central Govt",tech," 2021-22ல் இந்தியாவில் 747 இணையதளங்கள், 94 யூடியூப் சேனல்களுக்கு தடை: மத்திய அரசு   ",செய்திப்பிரிவு,21-Jul-22,0
100,'Teams' service shut down internationally: Employees of various companies celebrate with memes,tech, சர்வதேச அளவில் முடங்கிய ‘டீம்ஸ்’ சேவை: மீம்ஸுடன் கொண்டாடிய பல்வேறு நிறுவன ஊழியர்கள்   ,எல்லுச்சாமி கார்த்திக்,21-Jul-22,0
101,Delete 50+ Apps on Play Store - 'Delet if your phone has...,tech, பிளே ஸ்டோரில் 50+ செயலிகள் நீக்கம் - ‘உங்கள் மொபைலில் இருந்தால் டெலிட்...   ,செய்திப்பிரிவு,21-Jul-22,0
102,Redmi K50i smartphone launched in India | Price & Special Features,tech, ரெட்மி K50i ஸ்மார்ட்போன் இந்தியாவில் அறிமுகம் | விலை & சிறப்பு அம்சங்கள்   ,செய்திப்பிரிவு,20-Jul-22,0
103,Oppo Pad Air Tablet Launched in India | Price & Special...,tech, இந்தியாவில் அறிமுகமானது ஒப்போ பேட் ஏர் டேப்லெட் | விலை & சிறப்பு...   ,செய்திப்பிரிவு,19-Jul-22,0
104,Nap box... a crazy invention in Japan to take a nap in the office!,tech, நேப் பாக்ஸ்... அலுவலகத்தில் குட்டித் தூக்கம் போட ஜப்பானில் ஓர் அசத்தல் கண்டுபிடிப்பு!   ,செய்திப்பிரிவு,18-Jul-22,0
105,Xiaomi Smart Speaker with IR Control Launched in India - Price...,tech, IR கன்ட்ரோல் கொண்ட சியோமி ஸ்மார்ட் ஸ்பீக்கர் இந்தியாவில் அறிமுகம் - விலை...   ,செய்திப்பிரிவு,15-Jul-22,0
106,First time in the country: Kerala is the state with its own internet service!,tech, நாட்டிலேயே முதல் முறை: சொந்த இணையதள சேவையை கொண்ட மாநிலமானது கேரளா!   ,செய்திப்பிரிவு,15-Jul-22,0
107,"For new cell phone, laptop, tablet repair solutions 'Repair is your...",tech," புதிய செல்போன், லேப்டாப், டேப்லட் பழுதுக்கு தீர்வு காண ‘பழுது நீக்கம் உங்கள்...   ",செய்திப்பிரிவு,15-Jul-22,0
108,Wonders of Astronomy - What did the James Webb Telescope achieve?,tech, வானியலின் அற்புதங்கள் - ஜேம்ஸ் வெப் தொலைநோக்கி சாதித்தது என்ன?   ,செய்திப்பிரிவு,14-Jul-22,0
109,APJ-2022 Award to DRDO Woman Scientist Tessie Thomas,tech, டிஆர்டிஓ பெண் விஞ்ஞானி டெஸ்ஸி தாமஸுக்கு ஏபிஜே-2022 விருது   ,செய்திப்பிரிவு,14-Jul-22,0
110,"Chinese cell phone firm Oppo evaded Rs 4,390 crore tax: Revenue...",tech," ரூ.4,390 கோடி வரி ஏய்ப்பு செய்த சீன செல்போன் நிறுவனம் ஒப்போ: வருவாய்...   ",செய்திப்பிரிவு,14-Jul-22,0
111,How to understand the 5 photographs taken by the James Webb telescope? - A...,tech, ஜேம்ஸ் வெப் தொலைநோக்கி எடுத்த 5 புகைப்படங்களையும் புரிந்துகொள்வது எப்படி? - ஒரு...   ,இந்து குணசேகர்,13-Jul-22,0
112,Elon Musk Refusal to Buy Twitter: Company Decides to Go to Court,tech, ட்விட்டரை வாங்க எலான் மஸ்க் மறுப்பு: நீதிமன்றம் செல்ல நிறுவனம் முடிவு  ,செய்திப்பிரிவு,11-Jul-22,0
113,"In 8th year Xiaomi India | 60% Offer on Smartphone, Smart TV,...",tech," 8-ம் ஆண்டில் சியோமி இந்தியா | 60% ஆஃபரில் ஸ்மார்ட்போன், ஸ்மார்ட் டிவி,...   ",செய்திப்பிரிவு,08-Jul-22,0
